experiment_alias,run_id,eval_id,role,stage,fold,seed,git_commit,status,history_rows,best_epoch,last_epoch,monitor,selection_status,checkpoint_sha256,manifest_sha256,effective_split_sha256,label_raw_sha256,label_decoded_sha256,initialization_sha256,train_groups,val_groups,train_frames,val_frames,input_hw,patient_identity_status,source_file
E3b,current-f0-stage2_segment_roi_outside_fold0,current-f0-stage2_segment_roi_outside_fold0-history-val,current_matched_protocol,segment,0,42.0,a0d943e,training_complete,60,52,60,vessel_soft_dice,metadata_verified,b85ea0c87d7d49a446b1d3ff5a513a21433654b1d9098b91f83cca4edd220495,2e881495160d0dc1650884d6ede8f847134072d5cf9dd96fee4ebdc9017c4f9e,161e87928379aa4fbe7ab74f155a6f589964fb997c28070c1f7c5e628ef97299,7b5d9625200a5e0ca993ab3f54b92d8ca508ec178764cee22246082b982c9a57,15cf32a5eb3729f2ff12b07b354180294dde555ee6a53eb21293d853d0b957ac,36c24aadc1f1b899dfa68b7a60ce62ccc029b022114e2bd2d16c4af9fae99529,13.0,3.0,588.0,141.0,512x512,unverified: patient_id duplicates group_id in V0 rows,runs/current/stage2_segment_roi_outside_fold0/history.csv
E3-current,current-f0-stage2_segment_roi_current_fold0,current-f0-stage2_segment_roi_current_fold0-history-val,current_matched_protocol,segment,0,42.0,a0d943e,training_complete,60,55,60,vessel_soft_dice,metadata_verified,83e474e7cd1691d98b587800c781248169e2c1f1d75d929a9bffe32dd375467d,2e881495160d0dc1650884d6ede8f847134072d5cf9dd96fee4ebdc9017c4f9e,161e87928379aa4fbe7ab74f155a6f589964fb997c28070c1f7c5e628ef97299,7b5d9625200a5e0ca993ab3f54b92d8ca508ec178764cee22246082b982c9a57,15cf32a5eb3729f2ff12b07b354180294dde555ee6a53eb21293d853d0b957ac,36c24aadc1f1b899dfa68b7a60ce62ccc029b022114e2bd2d16c4af9fae99529,13.0,3.0,588.0,141.0,512x512,unverified: patient_id duplicates group_id in V0 rows,runs/current/stage2_segment_roi_current_fold0/history.csv
E3b-no-D2S,current-f0-stage2_segment_roi_outside_no_d2s_fold0,current-f0-stage2_segment_roi_outside_no_d2s_fold0-history-val,current_matched_protocol,segment,0,42.0,a0d943e,training_complete,60,55,60,vessel_soft_dice,metadata_verified,194bb20ff48d5a795a236d2d7204ff0cbf2abf89c9ebe5e9f1546457f2c3689b,2e881495160d0dc1650884d6ede8f847134072d5cf9dd96fee4ebdc9017c4f9e,161e87928379aa4fbe7ab74f155a6f589964fb997c28070c1f7c5e628ef97299,7b5d9625200a5e0ca993ab3f54b92d8ca508ec178764cee22246082b982c9a57,15cf32a5eb3729f2ff12b07b354180294dde555ee6a53eb21293d853d0b957ac,36c24aadc1f1b899dfa68b7a60ce62ccc029b022114e2bd2d16c4af9fae99529,13.0,3.0,588.0,141.0,512x512,unverified: patient_id duplicates group_id in V0 rows,runs/current/stage2_segment_roi_outside_no_d2s_fold0/history.csv
E1-current,current-f0-stage2_segment_safe_current_fold0,current-f0-stage2_segment_safe_current_fold0-history-val,current_multifactor_baseline,segment,0,42.0,a0d943e,training_complete,44,32,44,vessel_soft_dice,metadata_verified,230e9379aceb84c9f2f984c23fed18661d3deeb13a09987394591166161b1d53,2e881495160d0dc1650884d6ede8f847134072d5cf9dd96fee4ebdc9017c4f9e,161e87928379aa4fbe7ab74f155a6f589964fb997c28070c1f7c5e628ef97299,7b5d9625200a5e0ca993ab3f54b92d8ca508ec178764cee22246082b982c9a57,15cf32a5eb3729f2ff12b07b354180294dde555ee6a53eb21293d853d0b957ac,36c24aadc1f1b899dfa68b7a60ce62ccc029b022114e2bd2d16c4af9fae99529,13.0,3.0,588.0,141.0,512x512,unverified: patient_id duplicates group_id in V0 rows,runs/current/stage2_segment_safe_current_fold0/history.csv
E0,legacy-E0-5ad6c7b855,legacy-E0-5ad6c7b855-history-val,historical_different_or_unknown_protocol,segment,0,,unknown,history_only,80,79,80,vessel_soft_dice inferred,history_inferred,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,stage2_overfit_safe_fold0.csv
E1-old,legacy-E1-old-3f4c6d4397,legacy-E1-old-3f4c6d4397-history-val,historical_different_or_unknown_protocol,segment,0,,unknown,history_only,43,31,43,vessel_soft_dice inferred,history_inferred,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,stage2_segment_safe_fold0.csv
E2-old,legacy-E2-old-3df86353ec,legacy-E2-old-3df86353ec-history-val,historical_different_or_unknown_protocol,segment,0,,unknown,history_only,45,33,45,vessel_soft_dice inferred,history_inferred,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,stage2_segment_d2s_fold0.csv
E3-old,legacy-E3-old-efdac21776,legacy-E3-old-efdac21776-history-val,historical_different_or_unknown_protocol,segment,0,,unknown,history_only,59,47,59,vessel_soft_dice inferred,history_inferred,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,stage2_segment_roi_fold0.csv
E3b-old,legacy-E3b-old-4df632148f,legacy-E3b-old-4df632148f-history-val,historical_different_or_unknown_protocol,segment,0,,unknown,history_only,60,55,60,vessel_soft_dice inferred,history_inferred,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,stage2_segment_roi_outside_fold0.csv
