arm,seed,checkpoint_kind,dose,status,notes
D20,42,,,NOT_RUN,implementation only
D22,42,,,NOT_RUN,implementation only
D24,42,,,NOT_RUN,implementation only
D25,42,,,NOT_RUN,implementation only

