experiment_alias,run_id,epoch,selection_status,monitor,monitor_value,last_epoch,early_stop_status,batch_size,gradient_accumulation_steps,samples_per_epoch,learning_rate,checkpoint_sha256,val_layer_dice,val_layer_precision,val_layer_recall,val_vessel_dice,val_vessel_soft_dice,val_vessel_precision,val_vessel_recall,val_vessel_roi_dice,val_vessel_outside_gt_layer_fraction,val_vessel_area_fraction_pred,val_vessel_area_fraction_true,val_vessel_area_fraction_mae,val_pred_layer_vessel_dice,val_psnr,val_denoise_probe_max_abs_diff,train_total,train_layer,train_vessel,train_vessel_outside,train_vessel_outside_weighted,train_optimizer_steps,train_unique_groups_seen,train_d2s_gradient_norm,train_d2s_scale_update_abs_mean,val_d2s_disabled_vessel_soft_dice,val_d2s_vessel_probability_mean_abs_change
E3b,current-f0-stage2_segment_roi_outside_fold0,52,metadata_verified,vessel_soft_dice,0.6802409396748841,60,not_triggered_or_unknown,2.0,1.0,64.0,5e-05,b85ea0c87d7d49a446b1d3ff5a513a21433654b1d9098b91f83cca4edd220495,0.9436511573083154,0.9414448178323962,0.947692667069597,0.7427418458928288,0.6802409396748841,0.7159511179596386,0.7746025804617559,0.757535752551056,0.0372858057866764,0.4272556210216192,0.4086859061871113,0.0296711727201502,0.5854856876650053,34.32020627393633,0.0,0.8579400032758713,0.1355630685575306,0.7142042499035597,0.0149529653790523,0.0074764826895261,32.0,13.0,0.2820652881637215,4.859824548475444e-05,0.6100537187036138,0.0170326681212499
E3-current,current-f0-stage2_segment_roi_current_fold0,55,metadata_verified,vessel_soft_dice,0.6307918564076435,60,not_triggered_or_unknown,2.0,1.0,64.0,5e-05,83e474e7cd1691d98b587800c781248169e2c1f1d75d929a9bffe32dd375467d,0.9449265493916704,0.9364518425833466,0.9553421423967804,0.6915012520780913,0.6307918564076435,0.6132205750512281,0.7941224666643674,0.7584156576363612,0.1514535816249507,0.4470079293198961,0.4086859061871113,0.039875295070586,0.5736232560110105,34.32020572451806,0.0,0.8388734087347984,0.1248170577455312,0.7118859067559242,0.0559347177768358,0.0,32.0,13.0,0.1856267664115876,2.156216032744851e-05,0.5996032615473186,0.0082542993028352
E3b-no-D2S,current-f0-stage2_segment_roi_outside_no_d2s_fold0,55,metadata_verified,vessel_soft_dice,0.6770427492824056,60,not_triggered_or_unknown,2.0,1.0,64.0,5e-05,194bb20ff48d5a795a236d2d7204ff0cbf2abf89c9ebe5e9f1546457f2c3689b,0.9424762427429708,0.9377064040446674,0.9493254836062892,0.7393036400668574,0.6770427492824056,0.6860671929036647,0.805308762873519,0.7618645434313734,0.0543821051339616,0.4551001323748304,0.4086859061871113,0.0468182048796187,0.6062666613083963,34.32020572451806,0.0,0.8563459180295467,0.1322452570311725,0.7146440614014864,0.017174581909785,0.0085872909548925,32.0,13.0,0.0,,,
E1-current,current-f0-stage2_segment_safe_current_fold0,32,metadata_verified,vessel_soft_dice,0.715581371597203,44,evidence_present,2.0,1.0,64.0,5e-05,230e9379aceb84c9f2f984c23fed18661d3deeb13a09987394591166161b1d53,0.9349028963562188,0.9359374755599862,0.9363634684021848,0.7393137814021471,0.715581371597203,0.7407817234620833,0.745238503312228,0.7429519770483904,0.0098357673474087,0.4109547016722725,0.4086859061871113,0.0540593670583292,0.5761186305501189,34.32020626148279,0.0,1.0554090533405542,0.1662994751241058,0.7936501204967499,0.0,0.0,32.0,13.0,0.0,,,
E0,legacy-E0-5ad6c7b855,79,history_inferred,val_vessel_soft_dice inferred,0.8805723055470887,80,,,,,,unknown,0.9791895281409794,0.9846030560920024,0.9738827544999408,0.890534977144791,0.8805723055470887,0.8988328785975022,0.8832264778447684,0.8917629770020858,0.0027601282702207,0.4396838497226641,0.4490531429477948,0.0176599754098042,0.6152575632745348,32.81421508546251,0.0,0.4657373977825045,0.0513255342375487,0.3637060653418302,,,16.0,2.0,,,,
E1-old,legacy-E1-old-3f4c6d4397,31,history_inferred,val_vessel_soft_dice inferred,0.563532206414866,43,,,,,,unknown,0.775195387313941,0.6964647027217381,0.9338708402060448,0.5770586762676969,0.563532206414866,0.4861202014901063,0.7771413009475694,0.7066925495873123,0.2488256946779724,0.4437311388112305,0.3712034181058717,0.0725277207053587,0.5854461711513097,32.737266385329576,0.0,0.9069244870916008,0.1127799731912091,0.7031555250287056,,,32.0,8.0,,,,
E2-old,legacy-E2-old-3df86353ec,33,history_inferred,val_vessel_soft_dice inferred,0.5575766771208914,45,,,,,,unknown,0.7855582688717755,0.7059972177718272,0.932839239604242,0.5721318370666623,0.5575766771208914,0.4715398612905631,0.7856715872748632,0.7192203422603132,0.2758108443068447,0.4407357047930809,0.3712034181058717,0.0695322866872091,0.5979609767709544,32.737266385329576,0.0,0.8976625259965658,0.1072633598232641,0.6974510038271546,,,32.0,8.0,,,,
E3-old,legacy-E3-old-efdac21776,47,history_inferred,val_vessel_soft_dice inferred,0.4241550724869644,59,,,,,,unknown,0.787848118005411,0.7066029985307962,0.9417895370621348,0.4583684197609673,0.4241550724869644,0.3654564908022639,0.7808473550735129,0.7063952488903674,0.4169276328160676,0.4505520526214729,0.3712034181058717,0.0793486345156011,0.5678194376000454,32.73726934691576,0.0,0.7220032643526793,0.0924113649525679,0.6271083150058985,,,32.0,8.0,,,,
E3b-old,legacy-E3b-old-4df632148f,55,history_inferred,val_vessel_soft_dice inferred,0.6761848471672997,60,,,,,,unknown,0.9457318188234866,0.9421940424392292,0.9509688165880916,0.7379614645488443,0.6761848471672997,0.7042941135874674,0.7795602022633584,0.7565747793422716,0.0466218636110354,0.4332906864765522,0.4086859061871113,0.0384526492468747,0.5887509408063122,34.32020372525033,0.0,0.8341376353055239,0.1232818744610995,0.7032424062490463,0.0138706120410461,0.006935306020523,32.0,13.0,0.205471201101318,3.3169257221743464e-05,0.6028093857408877,0.0177936529629386
