mode,threshold,dice,iou,precision,recall,specificity,area_fraction_mae,n_groups,n_frames,selection_split,one_frame_per_group,checkpoint_sha256,coordinate_status,source_file
raw,0.4250000000000001,0.7357667197839289,0.5832717825955335,0.6860588274100995,0.7944738651601435,0.9796141201876424,0.044450718735869865,3,3,val,True,b85ea0c87d7d49a446b1d3ff5a513a21433654b1d9098b91f83cca4edd220495,512x512 model coordinates,runs/current/stage2_segment_roi_outside_fold0/threshold_calibration/best_vessel_threshold_raw.json
soft_gate,0.35000000000000003,0.7520635707608211,0.6047367638202233,0.6969876606644226,0.8186217955570934,0.9799123281665393,0.070799157429228,3,3,val,True,b85ea0c87d7d49a446b1d3ff5a513a21433654b1d9098b91f83cca4edd220495,512x512 model coordinates,runs/current/stage2_segment_roi_outside_fold0/threshold_calibration_soft_gate/best_vessel_threshold_soft_gate.json
